관광지명,위도,경도,소재지주소
해운대해수욕장,35.15910698,129.1602838,부산광역시 해운대구 해운대해변로 264
달맞이동산지구,35.15768146,129.1825429,부산광역시 해운대구 달맞이길 190
팔공산 하늘정원,36.023813,128.696761,경상북도 군위군 부계면 동산리 산 74-18
김수환 추기경 사랑과 나눔 공원,36.232449,128.599613,경상북도 군위군 군위읍 군위금성로 270
사라온 이야기 마을,36.236155,128.567733,경상북도 군위군 군위읍 동서길 49
함평해수찜,35.10050068,126.4648643,전라남도 함평군 손불면 석산로 61
함평자연생태공원,35.13500123,126.5057,전라남도 함평군 대동면 학동로 1398-77
함평양서파충류생태공원,35.13834076,126.4937003,전라남도 함평군 신광면 학동로 1398-9
맹종죽테마공원,34.967708,128.650512,경상남도 거제시 하청면 거제북로 700
거제박물관,34.894071,128.686203,경상남도 거제시 거제대로 3791(옥포동)
거제시농업개발원,34.856464,128.579187,경상남도 거제시 거제면 거제남서로 3577
거제요트학교,34.833694,128.701885,경상남도 거제시 일운면 지세포해안로 41
씨라인,34.91111602,128.7102346,경상남도 거제시 덕포5길 32-3
진남관,34.7413383,127.7365704,전라남도 여수시 동문로 11
향일암,34.59379448,127.8029861,전라남도 여수시 돌산읍 향일암로 60
진안고원치유의숲,35.87516093,127.4177407,전북특별자치도 진안군 정천면 봉학로 171-22
가위박물관,35.76592077,127.4150023,전북특별자치도 진안군 진안읍 마이산로 258
영도관광안내센터,35.09454127,129.0387847,부산광역시 영도구 봉래나루로 79
오수의견관광지,35.54520338,127.3326779,전북특별자치도 임실군 오수면 충효로 2096-16
사선대관광지,35.672357,127.2746265,전북특별자치도 임실군 관촌면 사선2길 68-7
송정관광지,34.7231451,128.0249667,경상남도 남해군 미조면 미송로 483
방화동가족휴가촌,35.59064179,127.5268761,전라북도 장수군 번암면 방화동로 778
용대관광지,38.18568475,128.3061965,강원도 인제군 북면 십이선녀탕길 16
방동관광지,37.94387136,128.3962628,강원도 인제군 기린면 방동약수로 89-59
청마기념관,34.854887,128.517123,경상남도 거제시 둔덕면 방하2길 6
씨월드,34.835848,128.701478,경상남도 거제시 일운면 지세포해안로 15
알로에테마파크,34.835716,128.560282,경상남도 거제시 거제면 거제남서로 3937
노을이물드는언덕,34.95450963,128.5194543,경상남도 거제시 사등면 창호리 1475
가조수협효시공원,34.929516,128.525144,경상남도 거제시 사등면 가조서로 7
용평관광단지,37.660871,128.666483,강원도 평창군 대관령면 용산리+수하리 일원
알펜시아관광단지,37.6552224,128.681494,강원도 평창군 대관령면 솔봉로 325 일원
휘닉스파크관광단지,37.581373,128.327331,강원도 평창군 봉평면 태기로 174 일원
오륜대한국순교자박물관,35.24570172,129.1009016,부산광역시 금정구 오륜대로 106-1
부산대젊음의거리,35.229587,129.0888177,부산광역시 금정구 장전온천천로 51
금정산성마을,35.250339,129.0561338,부산광역시 금정구 산성로 452
산청전통한방휴양관광지,35.441066,127.829361,경상남도 산청군 금서면 동의보감로555번길 45-6
산청중산관광지,35.293297,127.7549317,경상남도 산청군 시천면 지리산대로 525
산청금서관광지,35.394237,127.847052,경상남도 산청군 금서면 친환경로 1715
변산해수욕장,35.67999179,126.5309105,전라북도 부안군 변산면 변산로 2086
위도해수욕장,35.60583098,126.2853294,전라북도 부안군 위도면 위도로 366
